quarter,pdf_page,table_row,category,code,name,original_budget,final_budget,quarter_performance,ytd_performance,balance
1,28,,capital,052101100100,Private Health Institutions Management Agency,162469250.00,162469250.00,0,0,162469250.00
1,28,,capital,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),1524710539.57,1524710539.57,0,0,1524710539.57
2,20,,total,052100000000,Ministry of Health,109263061129.98,109263061129.98,9482367812.69,16772859900.32,92490201229.66
2,20,,total,052100100100,Ministry of Health,44754511456.78,44754511456.78,2770862723.85,3861074986.83,40893436469.95
2,20,,total,052100300100,H.M.B. ( HQ and Zones),35472177750.00,35472177750.00,6577304905.75,12561087101.40,22911090648.60
2,20,,total,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),1414953824.60,1414953824.60,0,43825000.00,1371128824.60
2,20,,total,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,2500000.00,2500000.00,137855000.00
2,20,,total,052100400200,School of Nursing Kano,12520000.00,12520000.00,1500000.00,2000000.00,10520000.00
2,20,,total,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,1500000.00,1500000.00,24120000.00
2,20,,total,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,1500000.00,1500000.00,20600000.00
2,20,,total,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,1500000.00,1700000.00,11220000.00
2,20,,total,052100400600,School of Nursing Madobi,34300000.00,34300000.00,1500000.00,1500000.00,32800000.00
2,20,,total,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,1500000.00,1700000.00,12050000.00
2,20,,total,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,1500000.00,1700000.00,23920000.00
2,20,,total,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,900000.00,900000.00,42388000.00
2,20,,total,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
2,20,,total,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,2400000.00,2400000.00,22838000.00
2,20,,total,052104000100,School Health Technology Kano,101500000.00,101500000.00,1500000.00,1500000.00,100000000.00
2,20,,total,052100500100,Primary Health Care Mgt. Board (PHCMB),11409260945.55,11409260945.55,112500183.08,284072812.10,11125188133.45
2,20,,total,052100600100,State Agency for Control of Aids,1036077183.00,1036077183.00,1500000.00,1500000.00,1034577183.00
2,20,,total,052100800100,CONTRIBUTORY HEALTH MGT,8749420180.48,8749420180.48,0,0,8749420180.48
2,20,,total,052100900100,KHETFUND,4089279000.00,4089279000.00,0,0,4089279000.00
2,20,,total,052101100100,Private Health Institutions Management Agency,220969250.00,220969250.00,1500000.00,1500000.00,219469250.00
2,20,,total,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),1652950539.57,1652950539.57,900000.00,900000.00,1652050539.57
2,23,,personnel,052100000000,Ministry of Health,35626727000.00,35626727000.00,6474383215.05,12965331717.36,22661395282.64
2,23,,personnel,052100100100,Ministry of Health,3213024000.00,3213024000.00,398598012.21,806644183.59,2406379816.41
2,23,,personnel,052100300100,H.M.B. ( HQ and Zones),31750191000.00,31750191000.00,5966285019.75,11950067215.40,19800123784.60
2,23,,personnel,052100500100,Primary Health Care Mgt. Board (PHCMB),663512000.00,663512000.00,109500183.08,208620318.38,454891681.62
2,30,,capital,052100000000,Ministry of Health,65712121129.98,65712121129.98,2714103687.64,3031068376.47,62681052753.51
2,30,,capital,052100100100,Ministry of Health,40270755456.78,40270755456.78,2106083801.64,2306770996.75,37963984460.03
2,30,,capital,052100300100,H.M.B. ( HQ and Zones),1247855750.00,1247855750.00,608019886.00,608019886.00,639835864.00
2,30,,capital,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),729004824.60,729004824.60,0,43825000.00,685179824.60
2,30,,capital,052100500100,Primary Health Care Mgt. Board (PHCMB),9022148945.55,9022148945.55,0,72452493.72,8949696451.83
2,30,,capital,052100600100,State Agency for Control of Aids,1012077183.00,1012077183.00,0,0,1012077183.00
2,30,,capital,052100800100,CONTRIBUTORY HEALTH MGT,7792820180.48,7792820180.48,0,0,7792820180.48
2,30,,capital,052100900100,KHETFUND,3950279000.00,3950279000.00,0,0,3950279000.00
2,30,,capital,052101100100,Private Health Institutions Management Agency,162469250.00,162469250.00,0,0,162469250.00
2,30,,capital,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),1524710539.57,1524710539.57,0,0,1524710539.57
3,18,,total,052100000000,Ministry of Health,109263061129.98,109751402976.96,11559001338.41,28331861238.73,81419541738.23
3,18,,total,052100100100,Ministry of Health,44754511456.78,45121853303.76,4443026154.78,8304101141.61,36817752162.15
3,18,,total,052100300100,H.M.B. ( HQ and Zones),35472177750.00,35472177750.00,6008954611.90,18570041713.30,16902136036.70
3,18,,total,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),1414953824.60,1414953824.60,0,43825000.00,1371128824.60
3,18,,total,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,3500000.00,6000000.00,134355000.00
3,18,,total,052100400200,School of Nursing Kano,12520000.00,12520000.00,0,2000000.00,10520000.00
3,18,,total,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,3000000.00,4500000.00,21120000.00
3,18,,total,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,1500000.00,3000000.00,19100000.00
3,18,,total,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,1500000.00,3200000.00,9720000.00
3,18,,total,052100400600,School of Nursing Madobi,34300000.00,34300000.00,1500000.00,3000000.00,31300000.00
3,18,,total,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,1500000.00,3200000.00,10550000.00
3,18,,total,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,1500000.00,3200000.00,22420000.00
3,18,,total,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,900000.00,1800000.00,41488000.00
3,18,,total,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
3,18,,total,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,2400000.00,4800000.00,20438000.00
3,18,,total,052104000100,School Health Technology Kano,101500000.00,101500000.00,1500000.00,3000000.00,98500000.00
3,18,,total,052100500100,Primary Health Care Mgt. Board (PHCMB),11409260945.55,11709260945.55,1045720571.73,1329793383.83,10379467561.72
3,18,,total,052100600100,State Agency for Control of Aids,1036077183.00,1036077183.00,1500000.00,3000000.00,1033077183.00
3,18,,total,052100800100,CONTRIBUTORY HEALTH MGT,8749420180.48,8546420180.48,0,0,8546420180.48
3,18,,total,052100900100,KHETFUND,4089279000.00,4089279000.00,0,0,4089279000.00
3,18,,total,052101100100,Private Health Institutions Management Agency,220969250.00,220969250.00,1500000.00,3000000.00,217969250.00
3,18,,total,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management,1652950539.57,1652950539.57,35000000.00,35900000.00,1617050539.57
3,18,,total,052101400100,Kano State Centre For Disesase Control & Prevention -,0,24000000.00,4500000.00,4500000.00,19500000.00
3,21,,personnel,052100000000,Ministry of Health,35626727000.00,35626727000.00,6387227957.36,19352559674.72,16274167325.28
3,21,,personnel,052100100100,Ministry of Health,3213024000.00,3213024000.00,387040446.11,1193684629.70,2019339370.30
3,21,,personnel,052100300100,H.M.B. ( HQ and Zones),31750191000.00,31750191000.00,5907569611.90,17857636827.30,13892554172.70
3,21,,personnel,052100500100,Primary Health Care Mgt. Board (PHCMB),663512000.00,663512000.00,92617899.35,301238217.73,362273782.27
3,25,,overhead,052100000000,Ministry of Health,7924213000.00,8412554846.98,265685000.00,1042144806.49,7370410040.49
3,25,,overhead,052100100100,Ministry of Health,1270732000.00,1338073846.98,100000000.00,847659806.49,490414040.49
3,25,,overhead,052100300100,H.M.B. ( HQ and Zones),2474131000.00,2474131000.00,101385000.00,104385000.00,2369746000.00
3,25,,overhead,052100300200,Muhammadu Abdullahi Wase Specialist Hospital (Zone 7 MAWSH),685949000.00,685949000.00,0,0,685949000.00
3,25,,overhead,052100400100,College of Nursing & Mid-Wifery Board,140355000.00,140355000.00,3500000.00,6000000.00,134355000.00
3,25,,overhead,052100400200,School of Nursing Kano,12520000.00,12520000.00,0,2000000.00,10520000.00
3,25,,overhead,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,3000000.00,4500000.00,21120000.00
3,25,,overhead,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,1500000.00,3000000.00,19100000.00
3,25,,overhead,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,1500000.00,3200000.00,9720000.00
3,25,,overhead,052100400600,School of Nursing Madobi,34300000.00,34300000.00,1500000.00,3000000.00,31300000.00
3,25,,overhead,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,1500000.00,3200000.00,10550000.00
3,25,,overhead,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,1500000.00,3200000.00,22420000.00
3,25,,overhead,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,900000.00,1800000.00,41488000.00
3,25,,overhead,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
3,25,,overhead,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,2400000.00,4800000.00,20438000.00
3,25,,overhead,052104000100,School Health Technology Kano,101500000.00,101500000.00,1500000.00,3000000.00,98500000.00
3,25,,overhead,052100500100,Primary Health Care Mgt. Board (PHCMB),1723600000.00,1723600000.00,3000000.00,6000000.00,1717600000.00
3,25,,overhead,052100600100,State Agency for Control of Aids,24000000.00,24000000.00,1500000.00,3000000.00,21000000.00
3,25,,overhead,052100800100,CONTRIBUTORY HEALTH MGT,956600000.00,1353600000.00,0,0,1353600000.00
3,25,,overhead,052100900100,KHETFUND,139000000.00,139000000.00,0,0,139000000.00
3,25,,overhead,052101100100,Private Health Institutions Management Agency,58500000.00,58500000.00,1500000.00,3000000.00,55500000.00
